generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
1,18,18,24,0.75,0,0,1.1111111111111112,0.015929121281502905,0.016735582361438874,True,18,"[0, 0, 0, 0, 0, 4, 1, 4, 1, 2, 0, 1, 1, 0, 0, 4, 2, 0]"
2,18,18,24,0.75,0,0,1.2222222222222223,0.019164194767566135,0.04477567668421184,True,18,"[0, 0, 0, 0, 0, 1, 3, 11, 2, 1, 0, 2, 0, 0, 0, 1, 1, 0]"
3,17,17,24,0.7083333333333334,0,0,1.2941176470588236,0.016068821969616107,0.01687495370246798,True,18,"[0, 0, 0, 0, 0, 6, 1, 8, 3, 0, 0, 0, 1, 0, 0, 1, 2, 0]"
4,20,20,24,0.8333333333333334,0,0,1.35,0.02637665934541617,0.08959551102463392,True,18,"[0, 0, 0, 0, 0, 7, 2, 9, 3, 0, 0, 0, 1, 0, 0, 1, 3, 1]"
5,19,19,24,0.7916666666666666,0,0,1.2105263157894737,0.015146684189090723,0.016811267133631128,True,18,"[0, 0, 0, 0, 0, 5, 2, 8, 5, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
6,21,21,24,0.875,0,0,1.380952380952381,0.018968816561594395,0.06021383319998235,True,18,"[0, 0, 0, 0, 0, 4, 0, 11, 7, 0, 0, 1, 1, 0, 0, 1, 3, 1]"
7,21,21,24,0.875,0,0,1.0952380952380953,0.019766815582635926,0.07264100121809089,True,18,"[0, 0, 0, 0, 0, 7, 0, 9, 3, 0, 0, 0, 0, 0, 0, 1, 3, 0]"
8,19,19,24,0.7916666666666666,0,0,1.3157894736842106,0.015263080516622878,0.025746933584489845,True,18,"[0, 0, 0, 0, 0, 3, 0, 10, 1, 0, 0, 0, 3, 0, 0, 3, 3, 2]"
9,22,22,24,0.9166666666666666,0,0,1.2272727272727273,0.014906265750078512,0.01636744832869737,True,18,"[0, 0, 0, 0, 0, 6, 1, 7, 6, 0, 0, 0, 0, 0, 0, 2, 4, 1]"
10,21,21,24,0.875,0,0,1.2380952380952381,0.014895754826579555,0.017073803497529794,True,18,"[0, 0, 0, 0, 0, 5, 1, 8, 6, 0, 0, 0, 0, 0, 0, 3, 1, 2]"
11,18,18,24,0.75,0,0,1.3333333333333333,0.01556306853458291,0.03128322317087581,True,18,"[0, 0, 0, 0, 0, 5, 1, 9, 3, 0, 0, 0, 0, 0, 0, 3, 2, 1]"
12,17,17,24,0.7083333333333334,0,0,1.411764705882353,0.015514228557694514,0.025559886640584038,True,18,"[0, 0, 0, 0, 0, 3, 1, 8, 6, 0, 0, 0, 2, 0, 0, 1, 3, 0]"
13,20,20,24,0.8333333333333334,0,0,1.65,0.018820867499913053,0.07410635605663361,True,18,"[0, 0, 0, 0, 0, 2, 1, 11, 9, 0, 0, 0, 1, 0, 0, 4, 4, 1]"
14,19,19,24,0.7916666666666666,0,0,1.3157894736842106,0.015463307241982716,0.019679869469130674,True,18,"[0, 0, 0, 0, 0, 6, 0, 6, 5, 0, 0, 0, 0, 0, 0, 4, 4, 0]"
15,19,19,24,0.7916666666666666,0,0,1.1578947368421053,0.017322557906778648,0.06859280776080146,True,18,"[0, 0, 0, 0, 0, 4, 1, 11, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0]"
16,21,21,24,0.875,0,0,1.3333333333333333,0.015890076648166357,0.03749366761194611,True,18,"[0, 0, 0, 0, 0, 4, 3, 10, 4, 0, 0, 0, 0, 0, 0, 3, 2, 2]"
17,20,20,24,0.8333333333333334,0,0,1.35,0.014089863812147163,0.015975076238927962,True,18,"[0, 0, 0, 0, 0, 5, 0, 6, 3, 0, 0, 1, 1, 0, 0, 5, 5, 1]"
18,20,20,24,0.8333333333333334,0,0,1.35,0.014183287881352749,0.015735006433563188,True,18,"[0, 0, 0, 0, 0, 4, 0, 10, 7, 0, 0, 0, 1, 0, 0, 1, 4, 0]"
19,18,18,24,0.75,0,0,1.2222222222222223,0.01824408872551353,0.08772968056948367,True,18,"[0, 0, 0, 0, 0, 4, 0, 8, 6, 0, 0, 0, 0, 0, 0, 2, 2, 0]"
20,21,21,24,0.875,0,0,1.5714285714285714,0.021752354803324762,0.1816960694420123,True,18,"[0, 0, 0, 0, 0, 6, 0, 7, 11, 0, 0, 0, 0, 0, 0, 4, 5, 0]"
21,20,20,24,0.8333333333333334,0,0,1.15,0.014763507360913078,0.027342817408728605,True,18,"[0, 0, 0, 0, 0, 6, 0, 10, 2, 0, 0, 0, 0, 0, 0, 2, 1, 2]"
22,18,18,24,0.75,0,0,1.2777777777777777,0.016918269256335917,0.04087314690004341,True,18,"[0, 0, 0, 0, 0, 5, 1, 8, 6, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
23,21,21,24,0.875,0,0,1.3333333333333333,0.013705017857139037,0.015813287914240817,True,18,"[0, 0, 0, 0, 0, 5, 1, 7, 6, 0, 0, 0, 1, 0, 0, 2, 4, 2]"
24,20,20,24,0.8333333333333334,0,0,1.5,0.014153041009505402,0.03150977423986635,True,18,"[0, 0, 0, 0, 0, 5, 0, 12, 7, 0, 0, 0, 1, 0, 0, 1, 3, 1]"
25,15,15,24,0.625,0,0,1.2,0.014208882228682504,0.015744567098712466,True,18,"[0, 0, 0, 0, 0, 1, 1, 9, 3, 0, 0, 0, 1, 0, 0, 1, 2, 0]"
26,22,22,24,0.9166666666666666,0,0,1.0909090909090908,0.014325271693890551,0.026070529334937358,True,18,"[0, 0, 0, 0, 0, 9, 0, 9, 1, 0, 0, 0, 0, 0, 0, 3, 2, 0]"
27,19,19,24,0.7916666666666666,0,0,1.3157894736842106,0.01404164766306519,0.015240161901694752,True,18,"[0, 0, 0, 0, 0, 3, 0, 7, 8, 0, 0, 0, 0, 0, 0, 5, 1, 1]"
28,19,19,24,0.7916666666666666,0,0,1.263157894736842,0.013249071618375437,0.015782534077395584,True,18,"[0, 0, 0, 0, 0, 3, 0, 11, 5, 0, 0, 0, 1, 0, 0, 3, 1, 0]"
29,21,21,24,0.875,0,0,1.2380952380952381,0.014016312277210943,0.022965317024601643,True,18,"[0, 0, 0, 0, 0, 6, 1, 9, 5, 0, 0, 0, 0, 0, 0, 2, 2, 1]"
30,21,21,24,0.875,0,0,1.1428571428571428,0.014157312129786223,0.017048045202698148,True,18,"[0, 0, 0, 0, 0, 8, 2, 4, 5, 0, 0, 0, 1, 0, 0, 0, 3, 1]"
31,20,20,24,0.8333333333333334,0,0,1.05,0.013753106046401795,0.01597295089110438,True,18,"[0, 0, 0, 0, 0, 2, 2, 11, 1, 0, 0, 0, 0, 0, 0, 3, 2, 0]"
