generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
1,18,18,24,0.75,0,0,1.4444444444444444,0.01597535211911352,0.01657751204265497,True,18,"[0, 0, 0, 0, 0, 2, 2, 8, 1, 2, 0, 1, 3, 0, 0, 3, 3, 1]"
2,18,18,24,0.75,0,0,1.2777777777777777,0.01966729655898772,0.057880776972636626,True,18,"[0, 0, 0, 0, 0, 3, 1, 8, 1, 1, 0, 1, 2, 0, 0, 2, 4, 0]"
3,23,23,24,0.9583333333333334,0,0,1.2173913043478262,0.02149470935534005,0.08690346599371057,True,18,"[0, 0, 0, 0, 0, 7, 1, 5, 5, 1, 0, 1, 2, 0, 0, 2, 4, 0]"
4,18,18,24,0.75,0,0,1.1666666666666667,0.015699021852069825,0.01657525762889737,True,18,"[0, 0, 0, 0, 0, 7, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0]"
5,21,21,24,0.875,0,0,1.4285714285714286,0.015705421809808464,0.01998525405560468,True,18,"[0, 0, 0, 0, 0, 4, 0, 11, 5, 0, 0, 1, 1, 0, 0, 3, 4, 1]"
6,17,17,24,0.7083333333333334,0,0,1.2941176470588236,0.01704640090126436,0.0355680743352953,True,18,"[0, 0, 0, 0, 0, 5, 2, 9, 1, 0, 0, 0, 0, 0, 0, 2, 3, 0]"
7,20,20,24,0.8333333333333334,0,0,1.35,0.020910461827119815,0.10145840486290997,True,18,"[0, 0, 0, 0, 0, 4, 1, 7, 5, 1, 0, 1, 0, 0, 0, 4, 4, 0]"
8,20,20,24,0.8333333333333334,0,0,1.3,0.01724121637250538,0.04076070503707048,True,18,"[0, 0, 0, 0, 0, 3, 0, 12, 3, 0, 0, 1, 0, 0, 0, 5, 2, 0]"
9,21,21,24,0.875,0,0,1.3333333333333333,0.014735298364036213,0.01608056347489295,True,18,"[0, 0, 0, 0, 0, 5, 0, 11, 4, 0, 0, 1, 2, 0, 0, 2, 3, 0]"
10,20,20,24,0.8333333333333334,0,0,1.25,0.014717114840242098,0.01606998392714197,True,18,"[0, 0, 0, 0, 0, 4, 2, 10, 5, 0, 0, 0, 0, 0, 0, 1, 2, 1]"
