generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
1,22,22,24,0.9166666666666666,0,0,1.2727272727272727,0.015703300232840403,0.016402339361665602,True,18,"[0, 0, 0, 0, 0, 4, 2, 11, 2, 0, 0, 0, 0, 0, 0, 4, 5, 0]"
2,19,19,24,0.7916666666666666,0,0,1.1578947368421053,0.01860232802735256,0.05780934228253963,True,18,"[0, 0, 0, 0, 0, 2, 1, 9, 2, 2, 0, 1, 4, 0, 0, 1, 0, 0]"
3,18,18,24,0.75,0,0,1.2777777777777777,0.015303278556676141,0.01656216301836038,True,18,"[0, 0, 0, 0, 0, 3, 1, 10, 4, 0, 0, 1, 1, 0, 0, 1, 2, 0]"
4,20,20,24,0.8333333333333334,0,0,1.25,0.018907796187362796,0.03479026930868853,True,18,"[0, 0, 0, 0, 0, 4, 0, 9, 3, 0, 0, 3, 0, 0, 0, 3, 3, 0]"
5,19,19,24,0.7916666666666666,0,0,1.263157894736842,0.015245291138406395,0.01654412452692867,True,18,"[0, 0, 0, 0, 0, 7, 1, 7, 4, 0, 0, 0, 0, 0, 0, 3, 2, 0]"
6,19,19,24,0.7916666666666666,0,0,1.263157894736842,0.016987988467147525,0.03973239697518048,True,18,"[0, 0, 0, 0, 0, 4, 0, 12, 1, 1, 0, 0, 1, 0, 0, 0, 5, 0]"
7,21,21,24,0.875,0,0,1.2380952380952381,0.01830727450098909,0.04522366218975082,True,18,"[0, 0, 0, 0, 0, 9, 1, 4, 3, 0, 0, 0, 1, 0, 0, 2, 6, 0]"
8,20,20,24,0.8333333333333334,0,0,1.2,0.019363133978901468,0.07159780404913671,True,18,"[0, 0, 0, 0, 0, 3, 1, 10, 2, 0, 0, 0, 2, 0, 0, 2, 4, 0]"
9,19,19,24,0.7916666666666666,0,0,1.1578947368421053,0.01620619458018251,0.02789589568658145,True,18,"[0, 0, 0, 0, 0, 5, 0, 8, 3, 0, 0, 0, 1, 0, 0, 1, 4, 0]"
10,23,23,24,0.9583333333333334,0,0,1.2173913043478262,0.01914571531634905,0.04231889139314471,True,18,"[0, 0, 0, 0, 0, 2, 2, 11, 3, 0, 0, 2, 2, 0, 0, 5, 1, 0]"
11,20,20,24,0.8333333333333334,0,0,1.05,0.015389151119582967,0.016458449085929708,True,18,"[0, 0, 0, 0, 0, 8, 2, 4, 3, 0, 0, 0, 2, 0, 0, 1, 0, 1]"
12,23,23,24,0.9583333333333334,0,0,1.173913043478261,0.01496117024400073,0.016314406798013964,True,18,"[0, 0, 0, 0, 0, 6, 0, 11, 4, 0, 0, 0, 2, 0, 0, 1, 2, 1]"
13,18,18,24,0.75,0,0,1.1666666666666667,0.01441555824135434,0.016122992384731073,True,18,"[0, 0, 0, 0, 0, 6, 2, 8, 2, 0, 0, 1, 0, 0, 0, 1, 1, 0]"
14,21,21,24,0.875,0,0,1.0,0.020872382338577338,0.10581574638536753,True,18,"[0, 0, 0, 0, 0, 9, 0, 8, 2, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
15,19,19,24,0.7916666666666666,0,0,1.368421052631579,0.016553701701636957,0.05758707140780733,True,18,"[0, 0, 0, 0, 0, 3, 2, 13, 3, 0, 0, 0, 0, 0, 0, 3, 2, 0]"
16,18,18,24,0.75,0,0,1.4444444444444444,0.014295923822338562,0.0160697568405862,True,18,"[0, 0, 0, 0, 0, 6, 1, 7, 1, 0, 0, 0, 2, 0, 0, 3, 5, 1]"
17,18,18,24,0.75,0,0,1.3333333333333333,0.015210892993220272,0.029348148774858036,True,18,"[0, 0, 0, 0, 0, 5, 4, 6, 4, 0, 0, 0, 0, 0, 0, 3, 2, 0]"
18,20,20,24,0.8333333333333334,0,0,1.35,0.017116477981855123,0.0656715450703159,True,18,"[0, 0, 0, 0, 0, 4, 2, 14, 3, 0, 0, 0, 0, 0, 0, 0, 2, 2]"
19,21,21,24,0.875,0,0,1.2380952380952381,0.014433319769062111,0.022053265013363733,True,18,"[0, 0, 0, 0, 0, 5, 2, 7, 5, 0, 0, 0, 1, 0, 0, 1, 4, 1]"
20,21,21,24,0.875,0,0,1.380952380952381,0.014021223972946119,0.015991490876850322,True,18,"[0, 0, 0, 0, 0, 6, 2, 11, 5, 0, 0, 0, 0, 0, 0, 2, 3, 0]"
21,19,19,24,0.7916666666666666,0,0,1.0,0.015372418534929436,0.028605873602440976,True,18,"[0, 0, 0, 0, 0, 4, 0, 5, 4, 0, 0, 1, 0, 0, 0, 1, 3, 1]"
22,18,18,24,0.75,0,0,1.0555555555555556,0.015297856420055433,0.027752427616407276,True,18,"[0, 0, 0, 0, 0, 6, 1, 7, 2, 0, 0, 0, 1, 0, 0, 0, 2, 0]"
