generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile,proxy_front_min_size
1,0,False,1.0411988935714287,[-2797.17907827688],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,341.76871008695775,24,0.0,24,True,0.75,12
2,0,False,1.019891384047619,[-2770.5496383665736],[0.0],[0.0],0.0,-3571.81126549272,-1961.395385176298,361.5750029220708,24,0.0,24,True,0.75,12
3,0,False,0.9968009685714284,[-2815.339919345608],[0.0],[0.0],0.0,-3571.81126549272,-1961.395385176298,417.5802862745301,24,0.0,24,True,0.75,12
4,0,False,0.9914096435714285,[-2933.3282275454917],[0.0],[0.0],0.0,-3571.81126549272,-1961.395385176298,410.22904446823514,24,0.0,24,True,0.75,12
5,0,False,0.9866519389285714,[-2798.4713875585553],[0.0],[0.0],0.0,-3571.81126549272,-1961.395385176298,454.5245769413101,24,0.0,24,True,0.75,12
6,0,False,0.9766160809523811,[-2533.872022902067],[0.0],[0.0],0.0,-3571.81126549272,-1677.8241975805747,524.4711121478915,24,0.0,24,True,0.75,12
7,0,False,0.9623642898809522,[-2577.514934039449],[0.0],[0.0],0.0,-3571.81126549272,-1961.395385176298,433.75922928997414,24,0.0,24,True,0.75,12
8,0,False,0.956738200595238,[-2533.872022902067],[0.0],[0.0],0.0,-3571.81126549272,-2092.5755419770653,438.3471479467131,24,0.0,24,True,0.75,12
9,0,False,0.953537245952381,[-2533.872022902067],[0.0],[0.0],0.0,-3584.2293906809846,-2092.5755419770653,448.05399495125215,24,0.0,24,True,0.75,12
10,0,False,0.9540278220238094,[-2533.872022902067],[0.0],[0.0],0.0,-3584.2293906809846,-2092.5755419770653,443.12208512077757,24,0.0,24,True,0.75,12
11,0,False,0.9547568375000001,[-2533.872022902067],[0.0],[0.0],0.0,-3584.2293906809846,-2092.5755419770653,420.8297673993316,24,0.0,24,True,0.75,12
12,0,False,0.950996955357143,[-2518.925655382334],[0.0],[0.0],0.0,-3584.2293906809846,-2092.5755419770653,426.40954026501703,24,0.0,24,True,0.75,12
13,0,False,0.949573155,[-2518.925655382334],[0.0],[0.0],0.0,-3584.2293906809846,-2092.5755419770653,433.1735348783528,24,0.0,24,True,0.75,12
14,0,False,0.9483309041666667,[-2374.382103796086],[0.0],[0.0],0.0,-3584.2293906809846,-2092.5755419770653,463.99452143284543,24,0.0,24,True,0.75,12
15,0,False,0.9477833732142856,[-2374.382103796086],[0.0],[0.0],0.0,-3584.2293906809846,-2092.5755419770653,446.5153781414921,24,0.0,24,True,0.75,12
16,0,False,0.9474360210714284,[-2374.382103796086],[0.0],[0.0],0.0,-3584.2293906809846,-2092.5755419770653,446.2590307883052,24,0.0,24,True,0.75,12
17,0,False,0.9455818508333333,[-2518.925655382334],[0.0],[0.0],0.0,-3584.2293906809846,-2188.3274613213075,432.4711471035971,24,0.0,24,True,0.75,12
18,0,False,0.9437028377380953,[-2518.925655382334],[0.0],[0.0],0.0,-3584.2293906809846,-2188.3274613213075,429.41057673762987,24,0.0,24,True,0.75,12
19,0,False,0.930687524047619,[-2518.925655382334],[0.0],[0.0],0.0,-3521.0308337894726,-2188.3274613213075,440.64622468191857,24,0.0,24,True,0.75,12
20,0,False,0.9224976765476192,[-2518.925655382334],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,435.07932212612394,24,0.0,24,True,0.75,12
21,0,False,0.9224976765476192,[-2518.925655382334],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,435.07932212612394,24,0.0,24,True,0.75,12
22,0,False,0.9186921170238097,[-2556.1491468867193],[0.0],[0.0],0.0,-3544.8422545196686,-2268.279496103073,439.6922151544907,24,0.0,24,True,0.75,12
23,0,False,0.9178192623809526,[-2556.1491468867193],[0.0],[0.0],0.0,-3544.8422545196686,-2268.279496103073,446.9014563472113,24,0.0,24,True,0.75,12
24,0,False,0.9164659905952383,[-2556.1491468867193],[0.0],[0.0],0.0,-3544.8422545196686,-2268.279496103073,441.9402118216998,24,0.0,24,True,0.75,12
25,0,False,0.9186585184523809,[-2533.872022902067],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,422.44549462407036,24,0.0,24,True,0.75,12
26,0,False,0.9186585184523809,[-2533.872022902067],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,422.44549462407036,24,0.0,24,True,0.75,12
27,0,False,0.9118086914285713,[-2573.6185160343975],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,409.1501686515993,24,0.0,24,True,0.75,12
28,0,False,0.9097807505952381,[-2573.6185160343975],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,401.64416808384533,24,0.0,24,True,0.75,12
29,0,False,0.9157890538095238,[-2551.176851722365],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,405.0521745715246,24,0.0,24,True,0.75,12
30,0,False,0.9169354428571429,[-2551.176851722365],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,401.0725171717419,24,0.0,24,True,0.75,12
31,0,False,0.9169354428571429,[-2551.176851722365],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,401.0725171717419,24,0.0,24,True,0.75,12
32,0,False,0.9137888458333334,[-2688.0321356786026],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,374.7666952360504,24,0.0,24,True,0.75,12
33,0,False,0.9010558415476191,[-2688.0321356786026],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,379.3978945446079,24,0.0,24,True,0.75,12
34,0,False,0.9034179503571429,[-2729.726157542538],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,373.31178967021555,24,0.0,24,True,0.75,12
35,0,False,0.8991730489285715,[-2800.5829460515224],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,347.7396663275784,24,0.0,24,True,0.75,12
36,0,False,0.8991730489285715,[-2800.5829460515224],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,347.7396663275784,24,0.0,24,True,0.75,12
37,0,False,0.9039298132142856,[-2759.5931649270915],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,350.4755895515502,24,0.0,24,True,0.75,12
38,0,False,0.9039298132142856,[-2759.5931649270915],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,350.4755895515502,24,0.0,24,True,0.75,12
39,0,False,0.8906483376190476,[-2759.5931649270915],[0.0],[0.0],0.0,-3521.0308337894726,-2268.279496103073,353.9682073148561,24,0.0,24,True,0.75,12
