generation,ind_number,parent_idx,chosen,offspring_ind_number,sigma,hv_contribution,raw_pct_he,raw_driver_p,raw_p4,raw_d_throat,raw_reservoir_p,raw_buffer_length,scaled_pct_he,scaled_driver_p,scaled_p4,scaled_d_throat,scaled_reservoir_p,scaled_buffer_length,raw_delta_vs1,raw_hold_time,raw_impact_speed,scaled_delta_vs1,scaled_hold_time,scaled_impact_speed
117,0,0,False,,0.019955843856034244,0.0,99.40916304009559,366630.5008052884,10021822.04250059,0.08379132168372183,6595688.436709927,0.08694215366706556,1.980305434669853,1.1336868105735975,1.010811930249702,1.9654663338206235,1.8160299244732983,1.3694215366706557,3585.0,0.0,350.0,,1.0,1.0
117,1,1,False,,0.008648963324289346,0.0,99.1165394518881,274598.25064352556,11790163.02955132,0.0781655386425283,7300020.408924497,0.09618423916439497,1.9705513150629366,1.1000367240328426,1.0240780653790587,1.8047296755008084,1.9093924673711873,1.4618423916439498,62.757035680300305,0.0007209799999999995,49.98552,,0.8558040000000001,0.14281577142857144
117,2,2,False,,0.01945412369176501,0.0,97.14696903155787,322830.8291806308,9564142.78637655,0.0845801044439377,6512440.010116305,0.0889210140467516,1.9048989677185957,1.117672177246304,1.01275998137047,1.9880029841125053,1.8062358720011207,1.389210140467516,3585.0,0.0,350.0,,1.0,1.0
117,3,3,False,,0.009031449222980872,0.0,97.93863295153557,172374.8187451449,14300113.796949722,0.06805202008282879,4796224.66062927,0.08783510743371312,1.9312877650511857,1.0626603986270486,1.0581112516931623,1.5157720023665369,1.5907091531358775,1.3783510743371312,103.13159253522736,0.0012159099999999971,47.92969,,0.7568180000000005,0.13694197142857142
117,4,4,False,,0.01980704364210946,0.0,97.80649295062065,168676.91908962766,10916117.77927586,0.08471277144944214,6902758.5476405015,0.09500442933779482,1.926883098354022,1.0613083221189934,1.0425983895608146,1.9917934699840611,1.8598906671295259,1.4500442933779483,86.29452102720916,0.00032905000000000087,6.53588,,0.9341899999999999,0.018673942857142856
117,5,5,False,,0.01980704364210946,0.0,98.14880491144524,115029.11567722748,9302996.993463635,0.08476767684912342,6676329.442150245,0.09262670302904424,1.9382934970481747,1.0416928805278596,1.0563389342570535,1.9933621956892407,1.8321274006881203,1.4262670302904426,112.65721031982503,0.0003699900000000006,16.98174,,0.9260019999999999,0.04851925714285714
117,6,6,False,,0.009894770139366769,0.0,99.36869706495085,193232.63054161932,15103402.869406717,0.07960034520288171,7069596.401446727,0.09374074292703238,1.9789565688316948,1.070286716257754,1.0540316510490633,1.8457241486537632,1.8808208885289452,1.4374074292703238,218.8723420441761,0.0014729399999999985,32.68469,,0.7054120000000003,0.09338482857142857
117,7,7,True,0,0.009991192640425193,-2.220446049250313e-16,98.61123826872947,194751.14230025798,15424986.538478661,0.08059127205852412,7125840.789859651,0.09327392262030013,1.9537079422909822,1.0708419352380738,1.054917538237186,1.8740363445292605,1.8880036721342963,1.4327392262030012,233.83449171314123,0.0015140599999999976,31.310000000000002,,0.6971880000000005,0.08945714285714286
117,8,8,False,,0.01435327896489158,0.0,97.70560702494093,192696.71167867637,17031477.86032024,0.0825273715412479,7965451.813669128,0.1261884018962291,1.9235202341646978,1.0700907662936365,1.062724714086778,1.9293534726070825,1.9955748886580913,1.7618840189622909,306.9592122674985,0.00030193000000000234,21.73675,,0.9396139999999995,0.062105
117,9,9,False,,0.007674957263716667,0.0,98.37846239348742,116744.37749777483,15040195.81390628,0.08253670710976407,7724476.287370183,0.10037749031452703,1.9459487464495808,1.0423200379493072,1.0971166497547664,1.9296202031361165,1.965049501649629,1.5037749031452703,416.44051858670673,0.0003249099999999977,23.67624,,0.9350180000000005,0.0676464
