generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile,proxy_front_min_size
1,0,False,1.0967647273809524,[-3053.0633952424196],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,380.54652493869554,24,0.0,24,False,,
2,0,False,1.0967647273809524,[-3053.0633952424196],[0.0],[0.0],0.0,-3571.81126549272,-2068.4797469646373,380.54652493869554,24,0.0,24,False,,
3,0,False,1.0580853210714285,[-3024.825952862562],[0.0],[0.0],0.0,-3573.0070860760234,-2068.4797469646373,391.92891710611684,24,0.0,24,False,,
4,0,False,1.0484468198809525,[-3010.617373890207],[0.0],[0.0],0.0,-3573.0070860760234,-2068.4797469646373,386.44759053305626,24,0.0,24,False,,
5,0,False,1.0452176544047618,[-3014.767578169906],[0.0],[0.0],0.0,-3573.0070860760234,-2068.4797469646373,390.75718700352985,24,0.0,24,False,,
6,0,False,1.0351146508333333,[-3049.4694396183863],[0.0],[0.0],0.0,-3573.0070860760234,-2068.4797469646373,389.67983251647127,24,0.0,24,False,,
7,0,False,1.0317679663095236,[-3059.2187038348457],[0.0],[0.0],0.0,-3573.0070860760234,-2068.4797469646373,390.17974816350255,24,0.0,24,False,,
8,0,False,1.0317679663095236,[-3059.2187038348457],[0.0],[0.0],0.0,-3573.0070860760234,-2068.4797469646373,390.17974816350255,24,0.0,24,False,,
9,0,False,1.0248254210714285,[-3072.882959099365],[0.0],[0.0],0.0,-3573.0070860760234,-2068.4797469646373,414.70783424130485,24,0.0,24,False,,
10,0,False,1.0241488210714287,[-3084.744494998796],[0.0],[0.0],0.0,-3573.0070860760234,-2068.4797469646373,420.8908046485927,24,0.0,24,False,,
11,0,False,1.0166013865476191,[-3098.9065250722215],[0.0],[0.0],0.0,-3573.0070860760234,-1979.8843747525086,412.9301115957282,24,0.0,24,False,,
12,0,False,1.0166013865476191,[-3098.9065250722215],[0.0],[0.0],0.0,-3573.0070860760234,-1979.8843747525086,412.9301115957282,24,0.0,24,False,,
13,0,False,1.0166013865476191,[-3098.9065250722215],[0.0],[0.0],0.0,-3573.0070860760234,-1979.8843747525086,412.9301115957282,24,0.0,24,False,,
14,0,False,1.0130105644047618,[-3119.065574543007],[0.0],[0.0],0.0,-3573.0070860760234,-1979.8843747525086,417.8690076849157,24,0.0,24,False,,
15,0,False,1.0096227727380953,[-3059.7573944316086],[0.0],[0.0],0.0,-3571.81126549272,-1979.8843747525086,425.7597204536471,24,0.0,24,False,,
16,0,False,1.0055953752142857,[-3005.5736942597123],[0.0],[0.0],0.0,-3571.81126549272,-1979.8843747525086,442.1122673148216,24,0.0,24,False,,
17,0,False,0.9921630690238095,[-2988.227945020308],[0.0],[0.0],0.0,-3571.81126549272,-1979.8843747525086,453.34670266447733,24,0.0,24,False,,
18,0,False,0.9916380547380953,[-2986.9483250490134],[0.0],[0.0],0.0,-3571.81126549272,-1979.8843747525086,452.74798884969164,24,0.0,24,False,,
